'uiIndex, szWeaponName, ubWeaponClass, ubWeaponType, ubCalibre, ubReadyTime, ubShotsPer4Turns, ubShotsPerBurst, ubBurstPenalty, ubBulletSpeed, ubImpact, ubDeadliness, bAccuracy, ubMagSize, usRange, usReloadDelay, BurstAniDelay, ubAttackVolume, ubHitVolume, sSound, sBurstSound, sSilencedBurstSound, sReloadSound, sLocknLoadSound, SilencedSound, bBurstAP, bAutofireShotsPerFiveAP, APsToReload, SwapClips, MaxDistForMessyDeath, AutoPenalty, NoSemiAuto, EasyUnjam, APsToReloadManually, ManualReloadSound, nAccuracy, bRecoilX, bRecoilY, ubAimLevels, ubRecoilDelay, Handling, usOverheatingJamThreshold, usOverheatingDamageThreshold, usOverheatingSingleShotTemperature, HeavyGun'
597, Bloody Heavy Throwing Knife,6,NULL,NULL,NULL,12,NULL,0,NULL,22,5,0,NULL,150,200,NULL,2,NULL,152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
598, Steak Knife,6,NULL,NULL,NULL,20,NULL,0,NULL,12,1,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
599, Sabre,6,NULL,NULL,NULL, 13.5,NULL,0,NULL,27,9,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
600, Rambo Knife,6,NULL,NULL,NULL,12,NULL,0,NULL,21,8,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
601," AEK-919K ""Kashtan"" )-|",2,2,22,6, 17.36,NULL,10,22,20,17,1,30,135,200,33,45,3,437,81,111,101,107,156,NULL,3,27,1,7,10,NULL,NULL,NULL,476,8, 4.5,9,4,NULL,12,3500,4500,70,NULL, 
602, AEK-971,3,6,7,15, 15.15,3,6,22,29,31,7,30,360,200,33,70,3,441,84,127,102,108,499,11,4,31,1,7,6,NULL,NULL,NULL,476,67,2, 5.5,4,NULL,11,6000,7000,70,NULL, 
603, AEK-973,3,6,10,15, 13.43,3,9,22,34,31,6,30,310,200,33,80,8,442,85,127,102,108,157,11,4,31,1,7,9,NULL,NULL,NULL,476,58,3, 8.5,4,NULL,11,6000,7000,70,NULL, 
604, Agram 2000,2,2,2,6, 15.82,NULL,14,22,25,18,2,30,160,200,38,50,3,470,103,62,101,107,376,NULL,3,30,1,7,14,NULL,NULL,NULL,476,17,5, 13.5,4,NULL,12,3100,4100,70,NULL, 
605, AICW,3,6,8,14, 15.82,NULL,6,22,32,43,7,30,380,200,46,75,7,456,97,127,102,108,499,NULL,3,50,1,7,6,NULL,NULL,NULL,476,71,2, 5.5,4,NULL,9,4000,5000,70,NULL, 
606, AK-102,2,6,8,12, 14.53,NULL,10,22,28,28,6,30,320,200,50,85,7,340,30,127,102,108,157,15,3,34,1,7,10,NULL,NULL,NULL,476,61,2, 9.5,4,NULL,9,6500,5500,70,NULL, 
607, AK-103,3,6,10,15, 12.95,NULL,12,22,34,31,6,30,305,200,50,80,8,358,45,127,102,108,157,16,3,31,1,7,12,NULL,NULL,NULL,476,58,3,12,4,NULL,11,7000,6000,70,NULL, 
608, AK-104,2,6,10,12, 13.43,NULL,13,22,33,27,5,30,275,200,50,90,8,358,45,127,102,108,157,16,3,34,1,7,13,NULL,NULL,NULL,476,53,3,13,4,NULL,9,6500,5500,70,NULL, 
609, AK-105,2,6,7,12, 15.15,NULL,8,22,29,27,6,30,320,200,50,75,7,329,21,127,102,108,499,15,3,34,1,7,8,NULL,NULL,NULL,476,59,2, 7.5,4,NULL,9,6500,5500,70,NULL, 
610, AK-107,3,6,7,15, 15.15,3,5,22,29,30,7,30,355,200,35,70,7,447,88,127,102,108,157,11,4,31,1,7,5,NULL,NULL,NULL,476,66,2,5,4,NULL,11,7000,6000,70,NULL, 
611, AK-108,3,6,8,15, 14.53,3,6,22,30,31,7,30,350,200,33,75,7,453,94,127,102,108,157,11,4,34,1,7,6,NULL,NULL,NULL,476,67,2,6,4,NULL,11,7000,6000,70,NULL, 
612, AKMS,3,6,10,15, 12.95,NULL,14,22,34,31,6,30,305,200,50,80,8,358,45,127,102,108,157,16,3,34,1,7,14,NULL,NULL,NULL,476,56,3,14,4,NULL,11,7000,6000,70,NULL, 
613, AKS-47,3,6,10,15, 12.07,NULL,15,22,34,31,5,30,300,200,50,80,8,358,45,127,102,108,157,16,3,34,1,7,15,NULL,NULL,NULL,476,54,3, 14.5,4,NULL,11,7000,6000,70,NULL, 
614, AKS-74,3,6,7,15, 14.53,NULL,8,22,29,32,6,30,355,200,46,70,7,329,21,127,102,108,157,15,3,34,1,7,8,NULL,NULL,NULL,476,62,2,8,4,NULL,11,7000,6000,70,NULL, 
615, AMD-65M,3,6,10,15, 12.49,NULL,13,22,33,30,5,30,275,200,50,80,8,358,45,127,102,108,157,16,3,34,1,7,13,NULL,NULL,NULL,476,51,3, 12.5,4,NULL,11,7000,6000,70,NULL, 
616," AN-94 ""Abakan""",3,6,7,15, 14.53,2,1,22,29,29,6,30,350,200,50,65,7,331,23,127,102,108,157,3,3,31,1,7,6,NULL,NULL,NULL,476,64,2,6,4,2,11,4400,5300,75,NULL, 
617, AS Val,3,6,18,14, 12.95,NULL,10,22,37,35,4,20,225,200,38,60,8,385,70,71,102,108,386,11,4,30,1,7,10,NULL,NULL,NULL,476,41,3,10,4,NULL,11,7000,6000,65,NULL, 
618, AI AWM,3,5,25,19, 12.07,NULL,0,22,58,76,12,10,825,200,100,100,10,440,NULL,127,102,108,157,NULL,NULL,27,1,27,0,NULL,1,28,477,98,NULL,NULL,5,NULL,14,4000,5000,165,NULL, 
619, SR-2M Veresk )-|,2,2,29,6, 16.55,NULL,15,22,26,21,2,30,155,200,40,55,9,294,101,111,101,107,157,NULL,4,27,1,7,15,NULL,NULL,NULL,476,16,5, 14.5,4,NULL,12,3500,4500,75,NULL, 
620, Barrett M98,3,5,25,19, 10.63,NULL,0,22,58,69,12,10,825,200,100,100,10,440,NULL,NULL,102,108,157,NULL,NULL,27,1,24,0,NULL,NULL,NULL,476,94,NULL,NULL,5,NULL,14,4000,5000,165,NULL, 
621, Benelli M4 Super 90,5,8,5,13, 12.95,NULL,0,22,50,31,1,7,115,200,100,85,8,297,3,127,103,109,157,NULL,NULL,49,NULL,7,0,NULL,1,NULL,481,13,NULL,NULL,3,NULL,10,4000,5000,90,NULL, 
622, Beretta 92FS,1,1,2,4, 24.53,NULL,0,21,25,15,1,15,120,200,100,50,3,367,NULL,NULL,100,106,156,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
623, Beretta 96FS Brigadier,1,1,23,4, 24.53,NULL,0,21,22,16,1,14,120,200,100,50,3,300,NULL,NULL,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
624, Beretta AR-70/90,3,6,8,15, 13.96,NULL,8,22,31,31,7,30,360,200,45,75,7,454,95,127,102,108,157,15,3,29,1,7,8,NULL,NULL,NULL,476,67,2,8,4,NULL,11,4000,4800,70,NULL, 
625, Beretta M501,3,5,9,18, 12.95,NULL,0,22,44,46,9,5,645,200,100,85,8,322,NULL,NULL,102,108,157,NULL,NULL,27,1,15,0,NULL,1,12,477,86,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
626, Bizon 2-07,2,3,20,8, 15.15,NULL,8,22,25,19,2,45,200,200,40,60,3,461,101,111,101,107,157,15,3,35,1,7,8,NULL,NULL,NULL,476,20, 4.5,7,4,NULL,8,6000,5000,70,NULL, 
627, Browning M1919 A6,4,7,46,33, 12.07,NULL,7,22,45,56,7,100,665,200,60,75,7,351,43,127,104,110,157,NULL,2,70,1,13,7,1,NULL,NULL,476,73,3, 6.5,5,NULL,18,5000,6000,75,NULL, 
628, Carl Gustaf M/45B,2,3,2,8, 15.82,NULL,7,22,26,18,2,30,160,200,50,55,3,370,56,111,101,107,156,14,3,30,1,7,7,NULL,NULL,NULL,476,19,4, 5.5,4,NULL,8,4000,5000,70,NULL, 
629, CETME Modelo C,3,6,9,18, 11.3,NULL,17,22,41,37,7,20,565,200,50,85,8,348,40,127,102,108,157,25,2,30,1,11,17,NULL,NULL,NULL,476,71,4,17,4,NULL,12,4200,5000,70,NULL, 
630, Knight SR-25,3,5,9,18, 12.07,NULL,0,22,43,48,8,20,605,200,100,85,8,347,39,127,102,108,157,NULL,NULL,30,1,16,0,NULL,NULL,NULL,476,82,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
631, Colt High Capacity M1911A1,1,1,3,4, 24.53,NULL,0,21,20,16,1,14,85,200,100,40,3,413,NULL,NULL,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
632, Colt M16A4,3,6,8,16, 13.43,3,10,22,32,30,7,30,380,200,38,75,7,341,33,127,102,108,499,15,NULL,29,1,7,10,NULL,NULL,NULL,476,71, 1.5, 9.5,4,NULL,11,3900,4900,75,NULL, 
633, Colt M4A1,3,6,8,13, 14.53,NULL,11,22,29,29,7,30,340,200,32,85,7,337,32,127,102,108,499,15,3,29,1,7,11,NULL,NULL,NULL,476,66, 1.5, 10.5,4,NULL,10,3900,4900,75,NULL, 
634, CZ 700,3,5,9,19, 12.95,NULL,0,22,45,48,9,10,685,200,100,85,8,322,NULL,NULL,102,108,157,NULL,NULL,27,1,16,0,NULL,1,12,477,88,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
635, CZ-52,1,1,20,4, 24.53,NULL,0,21,24,14,0,8,120,200,100,60,3,361,13,111,100,106,157,NULL,NULL,22,1,7,0,NULL,NULL,NULL,476,5,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
636, CZ-75B,1,1,23,4, 24.53,NULL,0,21,22,17,1,14,120,200,100,50,3,302,15,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3600,4200,70,NULL, 
637, Desert Eagle .44,1,1,26,8, 16.55,NULL,0,21,33,17,1,8,135,200,100,55,5,410,NULL,NULL,100,106,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,14,NULL,NULL,3,NULL,13,3800,4300,75,NULL, 
638, Desert Eagle .50 AE,1,1,35,8, 16.55,NULL,0,21,42,19,2,7,140,200,100,75,10,420,NULL,NULL,100,106,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,16,NULL,NULL,3,NULL,13,3800,4300,70,NULL, 
639, DSR-1,3,5,25,17, 13.96,NULL,0,22,58,71,12,10,815,200,100,100,10,440,NULL,NULL,102,108,157,NULL,NULL,37,1,26,0,NULL,1,28,477,97,NULL,NULL,4,NULL,14,4000,5000,165,NULL, 
640, Erma SR-100,3,5,25,19, 12.07,NULL,0,22,60,83,12,10,850,200,100,100,10,440,NULL,NULL,102,108,157,NULL,NULL,27,1,30,0,NULL,1,28,477,98,NULL,NULL,5,NULL,14,4000,5000,165,NULL, 
641, FAMAE Mini SAF,2,2,2,6, 15.82,3,13,22,24,18,1,30,140,200,31,50,3,471,104,105,101,107,472,9,5,30,1,7,13,NULL,NULL,NULL,476,6,5, 11.5,4,NULL,14,3000,4000,70,NULL, 
642, FAMAE SAF,2,3,2,8, 15.82,3,8,22,26,18,2,30,160,200,25,50,3,471,104,105,101,107,472,9,5,30,1,7,8,NULL,NULL,NULL,476,19, 4.5, 6.5,4,NULL,8,4000,5000,70,NULL, 
643, FAMAE SAF Silenciada,2,3,2,8, 15.82,3,8,22,25,22,1,30,125,200,31,50,3,471,104,105,101,107,472,9,5,30,1,7,8,NULL,NULL,NULL,476,10, 4.5, 6.5,4,NULL,8,4000,4000,65,NULL, 
644, FN Browning HP-35 .40,1,1,23,4, 24.53,NULL,0,21,22,16,1,14,115,200,100,50,3,300,NULL,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,75,NULL, 
645, FN BDA 9,1,1,2,4, 24.53,NULL,0,21,25,15,1,15,115,200,100,50,3,367,1,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
646, FN F2000,3,6,8,14, 15.82,NULL,9,22,30,37,7,30,350,200,35,75,7,338,27,127,102,108,499,NULL,4,53,1,7,9,NULL,NULL,NULL,476,67,2, 8.5,4,NULL,10,4000,5000,70,NULL, 
647, FN FAL Carbine,3,6,9,16, 12.07,NULL,19,22,39,35,7,20,555,200,50,90,8,347,39,127,102,108,157,17,3,30,1,11,19,NULL,NULL,NULL,476,70,4, 18.5,4,NULL,11,4000,5000,75,NULL, 
648, FN FAL OSW,3,6,9,15, 12.07,NULL,19,22,39,32,7,20,495,200,50,80,8,347,39,127,102,108,499,17,3,30,1,8,19,NULL,NULL,NULL,476,66,4,19,4,NULL,11,4000,5000,75,NULL, 
649, FN MAG,4,7,9,33, 12.07,NULL,8,22,45,54,7,100,675,200,32,85,9,352,44,127,104,110,157,NULL,4,70,1,13,8,1,NULL,NULL,476,75,3,7,5,NULL,16,4500,5000,100,NULL, 
650, FN Minimi SPW,4,7,8,22, 14.53,NULL,5,22,30,50,7,200,350,200,40,65,8,342,34,127,104,110,157,NULL,3,70,1,7,5,1,NULL,NULL,476,67, 1.5,5,4,NULL,14,4000,5000,70,NULL, 
651, FN SCAR-H CQC,3,6,9,13, 12.07,NULL,19,23,39,38,7,20,500,200,50,95,8,347,39,127,102,108,499,17,3,28,1,8,19,NULL,NULL,NULL,476,67, 3.5, 18.5,4,NULL,9,3600,4600,75,NULL, 
652, FN SCAR-L CQC,2,6,8,12, 14.53,NULL,9,23,27,36,6,30,305,200,50,80,7,346,38,127,102,108,499,15,3,29,1,7,9,NULL,NULL,NULL,476,61, 1.5,9,4,NULL,9,3600,4600,70,NULL, 
653, FN FNC,3,6,8,15, 13.96,3,8,22,31,30,7,30,365,200,40,70,8,450,91,127,102,108,157,15,3,31,1,7,8,NULL,NULL,NULL,476,69,2,8,4,NULL,11,3600,4600,70,NULL, 
654, FR-F2,3,5,9,18, 12.95,NULL,0,22,45,48,9,10,680,200,100,85,8,322,6,127,102,108,157,NULL,NULL,27,1,16,0,NULL,1,12,477,88,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
655, Galil AR,3,6,9,18, 11.3,NULL,20,22,41,40,7,20,610,200,33,85,8,340,30,127,102,108,157,17,3,30,1,12,20,NULL,NULL,NULL,476,72,4, 19.5,4,NULL,12,7000,6000,75,NULL, 
656, Galil SAR,3,6,8,13, 14.53,NULL,9,22,29,30,6,30,325,200,40,75,7,340,30,127,102,108,157,15,3,31,1,7,9,NULL,NULL,NULL,476,62,2, 8.5,4,NULL,10,6800,5800,70,NULL, 
657, Gepard M2,3,5,21,33, 8.2,NULL,0,22,155,82,10,5,1025,200,100,120,10,296,NULL,127,102,108,157,NULL,NULL,31,1,24,0,NULL,NULL,NULL,479,89,NULL,NULL,5,NULL,16,4000,5000,280,NULL, 
658, Glock 19,1,1,2,4, 30.92,NULL,0,21,25,16,0,15,105,200,100,70,7,371,NULL,NULL,100,106,156,NULL,NULL,23,1,7,0,NULL,NULL,NULL,476,5,NULL,NULL,3,NULL,9,3300,3800,70,NULL, 
659, Groza OC-14,3,6,10,12, 14.53,NULL,13,22,32,29,5,30,250,200,40,85,8,355,46,67,102,108,382,NULL,3,55,1,7,13,NULL,NULL,NULL,476,46,3,13,4,NULL,8,4000,5000,70,NULL, 
660, Groza OC-14-4A-01,3,6,18,11, 15.15,NULL,10,22,37,35,4,20,240,200,40,43,8,381,66,67,102,108,382,NULL,3,52,1,7,10,NULL,NULL,NULL,476,42,3,10,4,NULL,8,4000,5000,70,NULL, 
661, HK 23E,4,7,8,31, 14.53,3,6,22,31,44,7,100,365,200,38,75,8,460,100,127,104,110,157,15,3,75,1,7,6,NULL,NULL,NULL,476,68,2, 5.5,5,NULL,14,8000,9000,70,NULL, 
662," HK 416 14""",2,6,8,13, 14.53,NULL,9,22,29,31,7,30,345,200,33,80,7,334,110,127,102,108,499,15,3,29,1,7,9,NULL,NULL,NULL,476,66, 1.5, 8.5,4,NULL,10,3900,4900,70,NULL, 
663, HK G11 PDW,1,1,11,7, 19.23,NULL,0,21,23,23,3,20,170,200,100,65,7,445,18,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,29,NULL,NULL,3,NULL,13,4000,5000,75,NULL, 
664, HK G36C,2,6,8,10, 15.15,2,10,22,27,28,6,30,290,200,40,80,7,334,28,127,102,108,499,7,3,31,1,7,10,NULL,NULL,NULL,476,59,2, 9.5,4,NULL,8,3000,4000,70,NULL, 
665, HK G36 RAS,3,6,8,15, 13.96,2,9,22,31,32,7,30,375,200,40,75,7,334,28,127,102,108,499,7,3,31,1,7,9,NULL,NULL,NULL,476,70,2,9,4,NULL,11,4000,5000,70,NULL, 
666, HK G36K RAS,2,6,8,12, 14.53,2,9,22,28,31,6,30,325,200,40,85,7,334,28,127,102,108,499,7,3,31,1,7,9,NULL,NULL,NULL,476,63,2,9,4,NULL,9,4000,5000,70,NULL, 
667, HK G3KA4,3,6,9,15, 13.96,NULL,18,22,39,34,6,20,480,200,50,75,7,348,40,127,102,108,499,21,2,33,1,9,18,NULL,NULL,NULL,476,65,4,18,4,NULL,11,4400,4800,70,NULL, 
668, HK MG36 RAS,3,7,8,19, 13.96,2,7,22,31,35,7,100,375,200,40,75,7,482,107,127,102,108,499,7,3,31,1,7,7,NULL,NULL,NULL,476,69,2,7,4,NULL,12,6000,7000,70,NULL, 
669, HK MG43,4,7,8,30, 14.53,NULL,4,22,31,49,7,200,380,200,38,75,8,483,108,127,104,110,157,NULL,4,70,1,7,4,1,NULL,NULL,476,70, 1.5,4,5,NULL,16,4000,5000,70,NULL, 
670, HK Mark 23 SOCOM,1,1,3,5, 18.25,NULL,0,21,21,17,1,14,125,200,100,50,3,413,2,62,100,106,157,NULL,NULL,27,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,10,3600,4100,75,NULL, 
671, HK MP5/10A3,2,3,27,8, 15.15,3,13,22,25,21,2,30,180,200,38,75,7,387,15,111,101,107,157,15,3,28,1,7,13,NULL,NULL,NULL,476,25, 6.5,11,4,NULL,8,4000,5000,70,NULL, 
672, OTs-39,2,3,20,8, 15.15,NULL,11,22,25,16,2,30,185,200,40,60,3,362,51,111,101,107,157,NULL,3,30,1,6,11,NULL,NULL,NULL,476,17, 5.5,9,4,NULL,8,3200,4500,70,NULL, 
673, HK MP7A1 )-|,2,2,19,7, 16.55,NULL,8,23,23,32,2,40,195,200,32,50,3,326,19,111,101,107,157,10,4,27,1,7,8,NULL,NULL,NULL,476,24,3, 7.5,4,NULL,13,3900,4500,75,NULL, 
674, HK MSG90A1,3,5,9,19, 12.07,NULL,0,22,44,49,8,20,655,200,100,85,8,317,NULL,NULL,102,108,157,NULL,NULL,33,1,15,0,NULL,NULL,NULL,476,84,NULL,NULL,5,NULL,12,3500,5500,130,NULL, 
675, HK P7M8,1,1,2,2, 30.92,NULL,0,21,25,13,0,8,105,200,100,50,3,377,1,62,100,106,156,NULL,NULL,20,1,7,0,NULL,NULL,NULL,476,1,NULL,NULL,2,NULL,6,3000,3400,70,NULL, 
676, HK SL9SD,3,4,30,15, 13.43,NULL,0,22,35,35,6,10,305,200,100,80,7,292,NULL,NULL,102,108,292,NULL,NULL,27,1,7,0,NULL,NULL,NULL,476,62,NULL,NULL,4,NULL,10,4000,5000,130,NULL, 
677, HK UMP45,2,3,3,8, 15.15,2,10,22,21,22,1,30,130,200,43,40,3,416,77,111,101,107,157,5,3,28,1,7,10,NULL,NULL,NULL,476,15, 5.5, 8.5,4,NULL,8,4000,5000,75,NULL, 
678, HK USP,1,1,23,4, 26.34,NULL,0,21,21,15,1,14,110,200,100,70,7,300,NULL,NULL,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
679, Ithaca Model 37,5,8,5,9, 15.82,NULL,0,22,46,26,1,4,80,200,100,85,8,435,126,NULL,103,109,157,NULL,NULL,28,NULL,7,0,NULL,1,6,481,6,NULL,NULL,3,NULL,11,4000,5000,90,NULL, 
680, Jackhammer Mk3A1,5,8,5,13, 13.96,NULL,20,22,51,30,1,12,125,200,125,85,8,394,72,NULL,103,109,157,NULL,1,40,1,7,20,1,NULL,NULL,481,15,4,20,4,NULL,9,4000,5000,90,NULL, 
681, Jati-Matic GG-95 PDW,2,3,2,6, 14.53,NULL,13,22,26,19,2,30,160,200,46,50,3,473,106,111,101,107,156,15,3,27,1,7,13,NULL,NULL,NULL,476,19,6,12,4,NULL,13,4000,5000,70,NULL, 
682, KSVK,3,5,21,33, 9.37,NULL,0,22,150,75,10,5,990,200,100,120,10,296,NULL,NULL,102,108,157,NULL,NULL,53,1,22,0,NULL,1,24,476,92,NULL,NULL,5,NULL,16,4000,5000,280,NULL, 
683, M1 Garand,3,4,46,18, 11.67,NULL,0,22,44,37,7,8,655,200,100,85,8,398,NULL,NULL,102,108,157,NULL,NULL,32,1,13,0,NULL,NULL,NULL,476,74,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
684, M21 Tactical,3,5,9,18, 12.07,NULL,0,22,44,46,8,20,630,200,100,85,8,350,6,127,102,108,157,NULL,NULL,30,1,15,0,NULL,NULL,NULL,476,83,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
685, M40A1,3,5,9,18, 12.95,NULL,0,22,45,46,9,5,660,200,100,85,8,491,NULL,NULL,102,108,157,NULL,NULL,27,1,16,0,NULL,1,12,477,87,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
686, Metal Storm Surf Zone,2,3,34,8, 15.82,NULL,7,23,22,35,2,72,160,200,12,75,3,451,92,111,101,107,156,1,8,40,1,7,7,NULL,NULL,NULL,476,25,4,6,4,NULL,8,4000,5000,70,NULL, 
687, M60E3,4,7,9,33, 12.07,NULL,9,22,44,54,7,100,630,200,46,85,8,351,43,127,104,110,157,NULL,2,70,1,13,9,1,NULL,NULL,476,74,3,8,5,NULL,16,4000,5000,95,NULL, 
688, Cobray M11/9 )-|,2,2,2,6, 17.36,NULL,15,22,25,17,1,30,145,200,25,50,3,372,58,111,101,107,156,NULL,5,27,1,7,15,1,NULL,NULL,476,8,5,14,4,NULL,12,3000,3500,70,NULL, 
689, Makarov PM,1,1,22,3, 30.92,NULL,0,21,19,11,0,8,90,200,100,40,3,311,NULL,NULL,100,106,156,NULL,NULL,20,1,7,0,NULL,NULL,NULL,476,4,NULL,NULL,3,NULL,6,3300,3800,70,NULL, 
690, Makarov PMM,1,1,22,3, 30.92,NULL,0,21,20,12,0,12,90,200,100,45,3,310,NULL,NULL,100,106,156,NULL,NULL,23,1,7,0,NULL,NULL,NULL,476,4,NULL,NULL,3,NULL,6,3300,3800,75,NULL, 
691, Micro Galil,2,6,8,10, 15.15,NULL,10,22,27,25,6,30,270,200,40,85,7,484,109,127,102,108,157,15,3,31,1,7,10,NULL,NULL,NULL,476,56,2,10,4,NULL,8,6500,5500,70,NULL, 
692, Mini-Uzi )-|,2,2,2,5, 17.36,NULL,11,22,25,18,2,30,160,200,32,50,3,373,59,111,101,107,156,NULL,4,25,1,7,11,NULL,NULL,NULL,476,17,5,10,4,NULL,10,3400,3900,70,NULL, 
693, Mosin-Nagant M1891/30,3,4,24,18, 11.67,NULL,0,22,48,31,8,5,745,200,100,90,8,363,NULL,NULL,102,108,157,NULL,NULL,38,1,10,0,NULL,1,12,478,78,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
694, Baikal MP-133,5,8,5,13, 15.82,NULL,0,22,53,30,2,7,130,200,100,85,8,435,125,NULL,103,109,157,NULL,NULL,49,NULL,7,0,NULL,1,10,481,16,NULL,NULL,3,NULL,10,4000,5000,90,NULL, 
695, MP-445 Varjag,1,1,23,4, 24.53,NULL,0,21,22,16,1,14,120,200,100,50,3,302,15,111,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,6,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
696, Neostead,5,8,5,12, 15.82,NULL,0,22,52,29,2,7,120,200,100,85,8,435,3,127,103,109,157,NULL,NULL,84,NULL,7,0,NULL,1,10,481,18,NULL,NULL,3,NULL,9,4000,5000,90,NULL, 
697, OSV-96,3,5,21,33, 8.2,NULL,0,22,150,77,10,5,990,200,100,120,10,296,NULL,127,102,108,157,NULL,NULL,31,1,22,0,NULL,NULL,NULL,476,89,NULL,NULL,5,NULL,16,4000,4900,280,NULL, 
698, Parker Hale M82,3,5,9,18, 12.95,NULL,0,22,46,47,9,5,690,200,100,85,8,322,6,127,102,108,157,NULL,NULL,32,1,16,0,NULL,1,12,477,88,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
699, Pecheneg,4,7,24,34, 11.67,NULL,10,22,47,61,8,100,700,200,46,85,9,365,53,127,104,110,157,NULL,3,75,1,12,10,1,NULL,NULL,476,76,3, 9.5,5,NULL,16,8500,9500,75,NULL, 
700, PKM,4,7,24,33, 11.67,NULL,10,22,47,61,7,100,695,200,50,90,8,364,52,127,104,110,157,NULL,3,75,1,12,10,1,NULL,NULL,476,75,3,10,5,NULL,16,8500,9500,75,NULL, 
701, PP-93 )-|,2,2,22,5, 16.55,NULL,10,22,20,18,1,30,140,200,38,45,3,462,102,111,101,107,156,NULL,3,27,1,7,10,NULL,NULL,NULL,476,10, 4.5, 8.5,4,NULL,12,3500,4500,70,NULL, 
702, PPsh-41,2,3,20,9, 15.15,NULL,6,22,26,20,2,71,215,200,33,70,3,360,50,111,101,107,157,NULL,4,45,1,7,6,NULL,NULL,NULL,476,24,4, 4.5,4,NULL,9,4000,5000,70,NULL, 
703, PSM,1,1,33,3, 30.92,NULL,0,21,22,14,0,8,80,200,100,40,2,443,86,111,100,106,157,NULL,NULL,20,1,7,0,NULL,NULL,NULL,476,5,NULL,NULL,2,NULL,6,3300,3800,70,NULL, 
704, QBZ-97,3,6,8,13, 15.82,NULL,10,22,32,30,7,30,370,200,46,75,7,340,30,127,102,108,157,NULL,3,53,1,8,10,NULL,NULL,NULL,476,69,2, 9.5,4,NULL,9,4000,4800,70,NULL, 
705, RPD,4,7,10,22, 13.43,NULL,7,22,35,44,6,75,335,200,46,80,9,356,47,127,104,110,157,NULL,3,45,1,7,7,1,NULL,NULL,476,59, 2.5,7,5,NULL,12,9000,8000,75,NULL, 
706, RPK,3,7,10,19, 13.43,NULL,9,22,35,47,6,75,355,200,50,80,9,357,48,127,104,110,157,NULL,3,45,1,8,9,NULL,NULL,NULL,476,62, 2.5,9,5,NULL,12,9000,8000,75,NULL, 
707, Ruger Redhawk Revolver,1,1,26,5, 18.25,NULL,0,20,32,18,2,6,150,200,100,55,3,409,NULL,NULL,100,106,157,NULL,NULL,32,1,7,0,NULL,1,6,480,20,NULL,NULL,3,NULL,9,4000,4500,70,NULL, 
